BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,GLOBAL,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Bugs
43,3,11,26,18,15,128,109.63,42.03,193686.35,1.54,666,0.02,10760.35,255,411,91,30,131,0
11,0,1,7,6,1,35,55.65,17.14,16352.99,0.32,165,0.06,908.5,60,105,35,20,35,0
7,0,0,5,4,3,23,29.4,14.39,6090.84,0.14,89,0.07,338.38,31,58,14,13,23,0
18,0,0,10,10,5,52,80.76,27.14,59492.48,0.73,353,0.04,3305.14,137,216,53,21,52,0
13,0,0,7,7,1,22,54.54,15.58,13243.53,0.28,153,0.06,735.75,55,98,30,17,22,0
11,0,11,7,5,1,44,42.06,32.72,45051.12,0.46,236,0.03,2502.84,90,146,33,24,44,0
11,0,2,6,5,1,22,35.31,19.55,13490.6,0.23,128,0.05,749.48,43,85,22,20,22,0
7,0,2,4,4,1,17,33.69,16.2,8841.71,0.18,104,0.06,491.21,36,68,20,18,17,0
7,0,0,4,4,1,12,44.33,7.33,2383.85,0.11,70,0.14,132.44,22,48,15,10,12,0
11,0,5,6,6,1,28,44.43,18.41,15056.5,0.27,157,0.05,836.47,54,103,22,15,28,0
5,0,0,3,3,1,15,40.99,14,8034.06,0.19,111,0.07,446.34,44,67,22,14,15,0
5,0,0,3,3,1,21,45.77,15,10297.93,0.23,129,0.07,572.11,50,79,25,15,21,0
11,0,0,6,4,4,21,37.67,18.75,13244.88,0.24,131,0.05,735.83,50,81,24,18,21,0
43,0,4,22,17,12,103,70.89,48.94,169799.06,1.16,557,0.02,9433.28,208,349,51,24,103,0
5,0,0,3,3,1,12,26.16,9.23,2229.05,0.08,52,0.11,123.84,20,32,13,12,12,0
3,0,0,2,2,1,8,18.67,7.71,1110.86,0.05,36,0.13,61.71,12,24,7,9,8,0
11,0,0,6,6,1,25,30.2,25,18875,0.25,151,0.04,1048.61,50,101,16,16,25,0
3,0,0,2,2,1,8,20.81,9,1685.67,0.06,42,0.11,93.65,15,27,10,12,8,0
3,0,0,2,2,1,4,16.32,4.67,355.35,0.03,20,0.21,19.74,7,13,6,8,4,0
11,0,0,6,5,1,22,39.49,17,11411.18,0.22,127,0.06,633.95,44,83,22,17,22,0
5,0,0,3,3,1,11,23.27,11.38,3010.96,0.09,57,0.09,167.28,21,36,12,13,11,0
33,0,9,17,13,12,76,69.47,40.7,115062.64,0.94,473,0.02,6392.37,175,298,43,20,76,0
19,1,8,10,9,4,64,59.77,42.39,107406.67,0.84,412,0.02,5967.04,156,256,46,25,65,0
19,0,0,11,11,7,71,122.92,19.86,48468.15,0.81,385,0.05,2692.68,139,246,63,18,71,0
20,0,2,11,8,1,39,60.86,22,29456.04,0.45,224,0.05,1636.45,82,142,41,22,39,0
3,0,1,2,2,1,17,50.08,14,9816.39,0.23,139,0.07,545.36,56,83,22,11,17,0
11,0,0,7,5,4,54,88.12,18.17,29080.61,0.53,271,0.06,1615.59,109,162,45,15,54,0
18,0,1,11,9,7,88,151.9,21.7,71508.8,1.1,504,0.05,3972.71,194,310,76,17,88,0
12,0,2,7,7,6,30,52.03,24,29970.57,0.42,216,0.04,1665.03,84,132,35,20,30,0
3,0,1,2,2,1,8,26.84,8.18,1796.86,0.07,50,0.12,99.83,18,32,11,10,8,0
6,0,0,4,3,1,20,36.92,14.61,7876.2,0.18,106,0.07,437.57,37,69,19,15,20,0
6,0,0,4,3,3,19,29.26,13.5,5332.5,0.13,79,0.07,296.25,27,52,16,16,19,0
59,1,38,36,34,20,241,238.08,40.75,395438.84,3.23,1287,0.02,21968.82,480,807,159,27,242,0
15,0,16,9,9,1,61,90.69,22.53,46024.85,0.68,327,0.04,2556.94,118,209,55,21,61,0
3,0,0,2,2,1,8,20.33,9.78,1943.91,0.07,46,0.1,107.99,16,30,9,11,8,0
5,0,0,3,3,1,19,58.1,12.43,8983.13,0.24,142,0.08,499.06,52,90,23,11,19,0
3,0,0,2,2,1,8,20.33,9.78,1943.91,0.07,46,0.1,107.99,16,30,9,11,8,0
25,2,18,14,9,5,102,163.29,25.13,103097.32,1.37,590,0.04,5727.63,233,357,102,22,104,0
13,0,0,8,6,3,36,46.09,20.67,19687.59,0.32,179,0.05,1093.75,62,117,24,16,36,0
6,0,0,4,3,3,13,28.67,7,1404.72,0.07,45,0.14,78.04,14,31,11,11,13,0
11,0,14,6,6,5,18,42.78,14.62,9144.94,0.21,116,0.07,508.05,43,73,25,17,18,0
6,0,0,4,3,3,13,28.67,7,1404.72,0.07,45,0.14,78.04,14,31,11,11,13,0
6,0,0,4,3,1,13,21.05,11.25,2664.41,0.08,51,0.09,148.02,15,36,10,15,13,0
6,0,0,4,3,1,16,24.11,11.64,3264.45,0.09,59,0.09,181.36,16,43,11,16,16,0
10,0,2,6,6,1,23,38.97,10.97,4689.17,0.14,88,0.09,260.51,27,61,16,13,23,0
3,1,0,2,2,1,13,35.51,12.28,5352.73,0.15,88,0.08,297.37,34,54,18,13,14,1
40,9,12,22,19,15,105,75.75,43.23,141550.33,1.09,529,0.02,7863.91,166,363,48,25,114,1
3,1,0,2,2,1,10,25.4,13.71,4777.91,0.12,71,0.07,265.44,24,47,14,16,11,1
13,2,6,8,6,5,41,99.17,12.98,16702,0.43,217,0.08,927.89,73,144,45,16,43,1
30,2,7,17,14,8,88,66.14,38.06,95809.13,0.84,418,0.03,5322.73,139,279,42,23,90,1
5,1,1,3,3,3,16,27.98,18,9065.86,0.17,99,0.06,503.66,32,67,16,18,17,1
15,1,7,9,7,5,52,99,17.94,31877.94,0.59,287,0.06,1771,102,185,54,19,53,1
6,0,0,4,4,1,23,68.58,11.02,8321.46,0.25,136,0.09,462.3,47,89,32,15,23,1
27,4,6,15,15,7,66,73.44,25.26,46844.09,0.62,314,0.04,2602.45,109,205,41,19,70,1
8,0,3,5,2,1,27,63.88,14.57,13563.07,0.31,161,0.07,753.5,51,110,35,20,27,1
27,1,4,14,12,6,42,35.69,27.62,27226.57,0.33,184,0.04,1512.59,58,126,21,20,43,1
22,0,3,12,10,7,45,69.77,26.35,48459.37,0.61,299,0.04,2692.19,110,189,48,23,45,1
8,0,1,5,3,3,18,33.38,14.25,6778.53,0.16,90,0.07,376.58,30,60,20,19,18,0
3,0,1,2,2,1,9,25.29,11.85,3548.61,0.1,63,0.08,197.14,22,41,13,14,9,0
3,0,1,2,2,1,9,25.29,11.85,3548.61,0.1,63,0.08,197.14,22,41,13,14,9,0
3,0,1,2,2,1,9,29.06,11.2,3645.43,0.11,67,0.09,202.52,24,43,15,14,9,0
30,1,3,18,16,3,112,102.5,38.09,148686.82,1.3,597,0.03,8260.37,219,378,69,24,113,1
9,0,4,6,6,3,33,64.58,19.75,25188.5,0.43,211,0.05,1399.36,79,132,44,22,33,0
12,0,2,8,6,1,51,67.6,24.64,41048.67,0.56,282,0.04,2280.48,115,167,42,18,51,0
3,0,0,2,2,1,10,31.89,8.53,2320.9,0.09,56,0.12,128.94,21,35,16,13,10,0
8,0,0,5,4,1,24,43.9,12.52,6882.97,0.18,104,0.08,382.39,36,68,23,16,24,0
7,0,0,5,4,1,36,55.99,19.75,21840,0.37,198,0.05,1213.33,79,119,32,16,36,1
7,0,0,5,5,1,57,139.4,16.46,37755.59,0.76,357,0.06,2097.53,144,213,70,16,57,1
11,0,9,8,5,1,79,123.35,19.27,45791.28,0.79,367,0.05,2543.96,152,215,71,18,79,1
22,0,0,15,14,5,107,189.82,24.81,116852.98,1.57,675,0.04,6491.83,263,412,106,20,107,1
51,3,2,30,23,14,211,195.9,54.54,582830.35,3.56,1413,0.02,32379.46,556,857,158,31,214,1
5,0,0,3,3,1,13,23.77,15.54,5735.89,0.12,76,0.06,318.66,29,47,14,15,13,0
23,0,2,14,13,1,79,115.54,19.78,45226.86,0.76,367,0.05,2512.6,135,232,58,17,79,1
3,0,0,2,2,1,4,14.83,7,726.48,0.03,30,0.14,40.36,8,22,4,7,4,0
3,0,4,2,2,1,21,71.77,11.08,8806.58,0.27,155,0.09,489.25,64,91,26,9,21,0
7,0,4,4,4,4,37,69.01,16.93,19777.28,0.39,207,0.06,1098.74,79,128,35,15,37,0
14,0,1,9,7,4,66,116.42,23.48,64177.21,0.91,418,0.04,3565.4,161,257,72,21,66,0
10,0,0,6,5,3,33,45.02,14.88,9961.7,0.22,125,0.07,553.43,42,83,24,17,33,0
13,0,3,7,4,7,31,26.27,19.43,9914.72,0.17,104,0.05,550.82,34,70,14,16,31,0
7,0,0,4,2,3,14,31.35,9.97,3114.36,0.1,65,0.1,173.02,23,42,15,13,14,0
3,0,0,2,2,1,19,48.56,17.22,14395,0.28,163,0.06,799.72,66,97,23,12,19,0
7,0,0,4,2,3,14,31.35,9.97,3114.36,0.1,65,0.1,173.02,23,42,15,13,14,0
7,0,0,4,2,3,14,34.38,9.75,3268.21,0.11,69,0.1,181.57,24,45,16,13,14,0
5,0,1,3,2,3,11,29.72,13.6,5496.65,0.13,85,0.07,305.37,34,51,15,12,11,0
9,0,2,5,5,4,24,47.78,23.7,26838.69,0.38,195,0.04,1491.04,79,116,35,21,24,0
3,0,0,2,2,1,9,15.96,9.75,1517,0.05,36,0.1,84.28,13,23,8,12,9,0
6,0,1,4,4,1,21,46.32,15.11,10577.6,0.23,129,0.07,587.64,51,78,27,16,21,0
3,0,0,2,2,1,11,36.54,9.29,3150.52,0.11,74,0.11,175.03,26,48,14,10,11,0
12,1,0,7,6,1,35,67.77,18.76,23842.81,0.42,217,0.05,1324.6,77,140,39,19,36,0
45,1,8,25,23,8,117,142.73,32.85,154013.92,1.56,680,0.03,8556.33,235,445,93,26,118,0
3,0,0,2,2,1,6,17.23,8.67,1294.27,0.05,34,0.12,71.9,13,21,9,12,6,0
3,0,0,2,2,1,6,13.38,7.33,719.39,0.03,24,0.14,39.97,8,16,6,11,6,0
12,0,1,7,6,3,21,28.85,17.34,8678.36,0.17,101,0.06,482.13,37,64,16,15,21,0
3,0,0,2,2,1,4,19.46,3.5,238.4,0.02,19,0.29,13.24,5,14,5,7,4,0
11,0,3,6,6,1,36,115.58,11.75,15944.27,0.45,223,0.09,885.79,83,140,53,15,36,0
12,0,5,7,7,3,47,100.52,18.02,32631.05,0.6,289,0.06,1812.84,110,179,58,19,47,0
7,0,0,4,2,3,16,23.55,8.45,1681.86,0.07,44,0.12,93.44,13,31,10,13,16,0
18,0,1,12,10,1,73,96.22,23.35,52445.24,0.75,373,0.04,2913.62,143,230,49,16,73,0
5,0,3,3,3,1,16,25.63,16,6560,0.14,82,0.06,364.44,32,50,16,16,16,0
3,0,5,2,2,1,18,24.85,16.5,6765,0.14,82,0.06,375.83,33,49,16,16,18,0
7,0,0,4,3,1,19,28.87,14.62,6175.54,0.14,83,0.07,343.09,26,57,16,18,19,0
5,0,0,3,2,1,10,23.36,8.4,1648.21,0.07,44,0.12,91.57,14,30,10,12,10,0
3,0,0,2,1,1,9,14.87,8.57,1092.32,0.04,30,0.12,60.68,10,20,7,12,9,0
5,0,0,3,3,3,14,26.73,9.21,2266.4,0.08,53,0.11,125.91,17,36,12,13,14,0
3,0,0,2,2,1,4,19.99,5.33,568.57,0.04,28,0.19,31.59,8,20,6,8,4,0
3,0,0,2,2,1,9,20.53,8.13,1355.23,0.06,40,0.12,75.29,13,27,8,10,9,0
5,0,0,3,3,3,17,24.56,12.25,3685.14,0.1,64,0.08,204.73,21,43,12,14,17,0
3,0,0,2,2,1,11,35.16,8.21,2372.72,0.1,63,0.12,131.82,23,40,14,10,11,0
5,0,0,3,2,3,18,24.12,18.56,8310.37,0.15,88,0.05,461.69,33,55,16,18,18,0
3,0,0,2,2,1,16,27.13,15.06,6152.97,0.14,81,0.07,341.83,32,49,17,16,16,0
3,0,0,2,2,1,12,41.57,8.24,2819.37,0.11,72,0.12,156.63,28,44,17,10,12,0
3,0,0,2,2,1,9,17.88,9.33,1557.81,0.06,38,0.11,86.54,14,24,9,12,9,0
5,0,0,3,3,1,22,35.04,12.63,5590.85,0.15,87,0.08,310.6,32,55,19,15,22,0
3,0,6,2,2,1,18,39.51,10.08,4016.74,0.13,82,0.1,223.15,33,49,18,11,18,0
3,0,0,2,2,1,13,25.59,14,5014.84,0.12,73,0.07,278.6,28,45,15,15,13,0
3,0,0,2,2,1,11,34.43,7.86,2125.46,0.09,59,0.13,118.08,22,37,14,10,11,0
3,0,0,2,2,1,4,19.29,6.72,871.59,0.04,30,0.15,48.42,11,19,9,11,4,0
3,0,5,2,2,1,7,17.22,13.72,3243.25,0.08,53,0.07,180.18,19,34,9,13,7,0
3,0,0,2,2,1,6,15.86,7.2,822.39,0.04,30,0.14,45.69,8,22,5,9,6,0
7,0,5,4,4,1,37,89.21,24,51383.14,0.71,347,0.04,2854.62,144,203,54,18,37,0
11,0,0,6,4,1,23,22.86,24.7,13948.3,0.19,111,0.04,774.91,39,72,15,19,23,0
5,0,0,3,3,3,9,27.86,8.67,2092.83,0.08,52,0.12,116.27,16,36,12,13,9,0
3,0,0,2,2,1,7,24.71,5.63,781.73,0.05,34,0.18,43.43,10,24,8,9,7,0
3,0,0,2,2,1,9,16.47,13,2782.69,0.07,48,0.08,154.59,18,30,9,13,9,0
7,0,0,4,3,1,8,15.19,14,2976.5,0.07,47,0.07,165.36,18,29,9,14,8,0
3,0,0,2,2,1,8,15.23,10.5,1679.07,0.05,37,0.1,93.28,14,23,8,12,8,0
3,0,0,2,1,1,9,42.03,6.19,1609.1,0.09,56,0.16,89.39,22,34,16,9,9,0
3,0,0,2,2,1,12,31.49,14,6172.93,0.15,89,0.07,342.94,34,55,17,14,12,0
3,0,5,2,2,1,7,20.1,11.7,2752.14,0.08,52,0.09,152.9,18,34,10,13,7,0
13,0,10,7,7,1,57,88.41,27.8,68305.52,0.82,397,0.04,3794.75,158,239,54,19,57,0
11,0,15,6,4,1,25,24.1,24.7,14702.26,0.2,117,0.04,816.79,39,78,15,19,25,0
7,0,0,4,4,3,22,28.83,15.47,6896.24,0.15,90,0.06,383.12,29,61,15,16,22,0
3,0,0,2,2,1,9,17.15,13,2898.63,0.07,50,0.08,161.04,18,32,9,13,9,0
3,0,0,2,2,1,8,15.23,10.5,1679.07,0.05,37,0.1,93.28,14,23,8,12,8,0
3,0,0,2,2,1,12,33.66,13.22,5883.89,0.15,89,0.08,326.88,34,55,18,14,12,0
3,0,0,2,2,1,4,18.99,5.14,502.31,0.03,25,0.19,27.91,9,16,7,8,4,0
11,0,1,6,6,5,20,46.13,20.69,19748.29,0.32,170,0.05,1097.13,60,110,29,20,20,0
13,0,4,7,7,3,23,50.81,21.22,22872.08,0.36,192,0.05,1270.67,67,125,30,19,23,0
12,0,1,7,6,3,21,28.85,17.34,8678.36,0.17,101,0.06,482.13,37,64,16,15,21,0
14,0,3,8,8,5,50,75.66,19.93,30048.37,0.5,246,0.05,1669.35,93,153,49,21,50,0
7,0,0,4,2,3,16,23.55,8.45,1681.86,0.07,44,0.12,93.44,13,31,10,13,16,0
12,0,4,8,8,1,54,90.48,17.04,26283.38,0.51,259,0.06,1460.19,98,161,46,16,54,0
10,0,1,6,6,4,27,61.09,13.24,10710.87,0.27,152,0.08,595.05,55,97,27,13,27,0
3,0,0,2,2,1,8,28.73,7.92,1800.5,0.08,51,0.13,100.03,19,32,12,10,8,0
23,0,0,12,10,7,28,47.44,22.67,24374.21,0.36,186,0.04,1354.12,68,118,33,22,28,0
18,0,1,10,9,1,67,65.16,27.99,51033.62,0.61,314,0.04,2835.2,109,205,37,19,67,0
5,0,0,3,3,1,15,31.14,17.14,9151.3,0.18,101,0.06,508.41,40,61,21,18,15,0
21,0,3,11,10,1,41,58.14,23.94,33320.87,0.46,243,0.04,1851.16,79,164,33,20,41,0
9,0,0,5,5,1,15,42.6,12.5,6656.28,0.18,103,0.08,369.79,35,68,21,15,15,0
9,0,1,6,4,1,28,52.27,12.46,8112.64,0.22,125,0.08,450.7,46,79,24,13,28,0
34,1,27,18,15,10,81,93.63,43.69,178710.34,1.36,608,0.02,9928.35,232,376,77,29,82,0
3,0,0,2,2,1,8,28.73,7.92,1800.5,0.08,51,0.13,100.03,19,32,12,10,8,0
11,0,0,7,5,4,58,104.52,18.11,34291.94,0.63,311,0.06,1905.11,128,183,53,15,58,0
9,0,1,5,5,1,44,72.83,29.48,63297.51,0.72,348,0.03,3516.53,134,214,50,22,44,0
18,0,2,10,8,5,58,69.5,23.96,39892.13,0.56,269,0.04,2216.23,92,177,48,25,58,0
3,0,0,2,2,1,8,16.2,8.75,1240.55,0.05,34,0.11,68.92,14,20,8,10,8,0
7,0,0,4,3,4,11,18.54,18,6006.03,0.11,68,0.06,333.67,24,44,12,18,11,0
3,0,0,2,2,1,9,18.62,14.88,4118.96,0.09,57,0.07,228.83,21,36,12,17,9,0
5,0,0,3,2,3,10,19.09,17.86,6086.79,0.11,67,0.06,338.15,25,42,14,20,10,0
12,0,8,7,6,1,34,54.94,20.4,22864.72,0.37,193,0.05,1270.26,68,125,35,21,34,0
6,0,0,4,3,1,20,48.84,14.22,9878.21,0.23,128,0.07,548.79,48,80,27,16,20,0
23,0,13,13,12,1,52,64.37,33.13,70666.9,0.71,348,0.03,3925.94,127,221,46,24,52,0
32,1,12,19,16,4,121,167.64,36.55,223888.39,2.04,867,0.03,12438.24,335,532,110,24,122,0
11,0,0,6,5,1,14,37.16,16.43,10037.72,0.2,114,0.06,557.65,42,72,23,18,14,0
3,0,0,2,2,1,8,28.73,7.92,1800.5,0.08,51,0.13,100.03,19,32,12,10,8,0
27,0,0,14,14,9,38,41.06,42.15,72932.91,0.58,323,0.02,4051.83,119,204,24,17,38,0
5,0,0,3,3,1,9,32.94,6.95,1593.02,0.08,53,0.14,88.5,17,36,11,9,9,0
40,1,13,21,19,9,66,88.04,36.99,120439.45,1.09,487,0.03,6691.08,180,307,73,30,67,0
6,0,1,4,2,1,15,37.99,9.39,3349.04,0.12,72,0.11,186.06,26,46,18,13,15,0
13,0,0,7,6,5,34,42.13,26.79,30243.28,0.38,200,0.04,1680.18,74,126,29,21,34,0
3,0,0,2,2,1,6,25.23,6.5,1066,0.05,41,0.15,59.22,13,28,8,8,6,1
17,0,0,9,8,1,20,35.13,15.23,8150.47,0.18,120,0.07,452.8,44,76,13,9,20,0
12,0,3,8,6,1,48,63.66,24.16,37151.02,0.51,266,0.04,2063.94,108,158,38,17,48,0
16,0,9,10,8,1,46,65.15,27.14,47999.33,0.59,297,0.04,2666.63,114,183,42,20,46,0
5,0,0,3,3,1,15,43.46,11.14,5396.06,0.16,96,0.09,299.78,39,57,21,12,15,1
9,0,0,5,5,4,20,41.69,12.35,6361.1,0.17,106,0.08,353.39,35,71,17,12,20,0
17,0,0,9,9,9,20,46.86,14.55,9917.4,0.23,134,0.07,550.97,47,87,21,13,20,1
15,1,4,10,8,1,42,58.91,16.11,15290.22,0.32,176,0.06,849.46,58,118,27,15,43,0
24,0,6,13,12,7,59,65.25,34.2,76313.12,0.74,351,0.03,4239.62,125,226,53,29,59,1
11,0,0,6,2,1,24,31.92,18.79,11268.26,0.2,116,0.05,626.01,42,74,19,17,24,0
9,1,0,5,5,3,47,90.12,19.38,33861.93,0.58,285,0.05,1881.22,112,173,52,18,48,1
17,0,2,10,10,7,73,118.08,20.61,50170.62,0.81,385,0.05,2787.26,142,243,62,18,73,0
27,0,1,14,10,1,106,125.82,44.77,252155.78,1.88,829,0.02,14008.65,308,521,86,25,106,1
5,0,3,3,3,1,11,28.48,9.5,2569.87,0.09,59,0.11,142.77,19,40,12,12,11,1
5,1,1,3,3,1,12,46.32,10.21,4832.73,0.16,93,0.1,268.48,33,60,21,13,13,1
5,0,7,3,3,1,12,29.1,10.5,3208.05,0.1,65,0.1,178.23,21,44,13,13,12,1
8,0,0,5,4,1,25,42.86,17.68,13404.49,0.25,153,0.06,744.69,56,97,19,12,25,0
7,0,5,4,4,1,12,28.84,11.5,3814.64,0.11,69,0.09,211.92,23,46,14,14,12,1
3,0,1,2,2,1,9,18.62,14.88,4118.96,0.09,57,0.07,228.83,21,36,12,17,9,1
5,0,1,3,2,3,10,19.09,17.86,6086.79,0.11,67,0.06,338.15,25,42,14,20,10,1
6,1,0,4,3,1,21,32.17,13.68,6017.65,0.15,88,0.07,334.31,31,57,17,15,22,1
6,0,0,4,3,1,16,25.41,14,4980.42,0.12,74,0.07,276.69,28,46,14,14,16,1
41,0,11,22,19,8,111,141.86,34.57,169489.04,1.63,715,0.03,9416.06,265,450,92,24,111,1
5,1,2,3,1,1,16,44.98,14.69,9703.67,0.22,125,0.07,539.09,47,78,24,15,17,0
8,0,2,5,5,1,23,55.49,8.48,3988.71,0.16,91,0.12,221.59,30,61,23,13,23,1
24,2,12,15,9,1,86,92.86,35.1,114410.43,1.09,495,0.03,6356.14,189,306,70,26,88,1
8,0,1,5,4,3,21,28.45,10.64,3218.64,0.1,66,0.09,178.81,18,48,11,13,21,0
9,0,1,5,4,3,16,22.8,17,6589.95,0.13,79,0.06,366.11,26,53,13,17,16,0
3,0,0,2,2,1,9,15.92,8.64,1189.32,0.05,33,0.12,66.07,11,22,7,11,9,0
7,0,0,4,4,1,13,16.11,13.71,3029.38,0.07,52,0.07,168.3,16,36,7,12,13,0